127.0.0.1 - - [01/Nov/2016:11:43:27 +0800] "GET / HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:49 +0800] "GET /index HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:54 +0800] "GET /statics/js/cookieHelper.js HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:54 +0800] "GET /statics/images/m_jingzhi.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:54 +0800] "GET /statics/css/base.css HTTP/1.1" 200 14554
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:54 +0800] "GET /statics/images/mzh_dljm_1_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:54 +0800] "GET /statics/images/mzh_dljm_7_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:54 +0800] "GET /statics/images/mzh_dljm_6_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:55 +0800] "GET /login HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [01/Nov/2016:11:43:55 +0800] "GET /statics/css/footer.css HTTP/1.1" 200 2053
